table_label,position,dataset,pipeline,run_label,run_short,hle_id,community_id,superclaim,is_singleton,n_sources,source_doc_ids
co-ood,1,co,graph,co_harm_persona_og,cog_v3,hle_132,42,The Trump administration's rejection of social engineering represents a positive and necessary policy direction.,0,4,id1260607647466133;id2816244678603682;id513186972891362;id691593365004504
co-other,1,co,graph,co_harm_persona_og,cog_v3,hle_30,9,Market-driven energy production is superior to government regulation and restrictive environmental mandates.,0,99,id1008422802885993;id1036756806835241;id1054211311704647;id1071543899908854;id1078825302520799;id1086335075068763;id111449076939589;id1132081010524874;id119741082756916;id1232848773737874;id1241611372855465;id127216165398739;id1573707982813293;id1661373910704921;id169748547626757;id1740064476168806;id174178794011603;id174302743936509;id188909929151649;id189346665632987;id194567538599956;id204843794041612;id2104860709646111;id214505776344431;id228180871899765;id231790797831553;id2442206232748683;id249357839392782;id255017752336134;id260173278770038;id2603811789839043;id261017392019315;id2612331889012604;id2614297565495109;id261960955073452;id2625136601083675;id268458784507164;id2701580410055158;id273197647260667;id2756971574369458;id277722189865545;id2790515281024723;id2870097933098994;id297338677939314;id306666357321153;id3094321807272356;id311037316637610;id311540423246591;id3132831770099466;id316072229613843;id318846065997089;id320490029402081;id323401225414513;id333070261088831;id3331930386889230;id334796597943118;id335534967709940;id336822984078448;id340798760435235;id348744506192481;id352533619439755;id353103296009027;id359806051843248;id362765105041797;id369543200854540;id377496479948454;id390970922070445;id395607834796200;id396051894746851;id402275950751680;id452195605458016;id460342954673420;id464046151238935;id464267367606041;id510298189834162;id513186972891362;id528973137716294;id530999800914687;id532223910658487;id580396069559860;id588765528370823;id629426604351571;id637431103625444;id639266320126673;id649062125635758;id654198368406526;id676489576329926;id682659275928175;id690298774847919;id692240961543795;id696970230844766;id728743114587937;id754131575169680;id762081337617489;id769122640577531;id785084472266170;id821887651899986;id964451957261964;id965231807222680
co-other,2,co,graph,co_harm_persona_og,cog_v3,hle_9,2,U.S. domestic energy production is environmentally and ethically superior to that of foreign competitors.,0,99,id1022787421486554;id1054211311704647;id1060400521057711;id1079773329133467;id1142436342764581;id117938629530886;id1211893755843373;id1240147782987371;id126132698577883;id1269024319952349;id1279304869112007;id1395685887283383;id1527641567396234;id180965453112119;id189346665632987;id1907230816088544;id195039311848774;id200389521272821;id204247533957058;id205916304169924;id213173273196416;id213379866385001;id214949483086873;id227537708427665;id234547374293779;id236055177487968;id239386360832877;id246809349731354;id2501924506740752;id255321152520148;id256567842123397;id261960955073452;id2684266911659106;id268449027710516;id268458784507164;id279141959722098;id279435806356895;id2847704802182703;id287823302308185;id295481511730616;id2957390074361736;id300772581325123;id310900223697095;id323567252382260;id3240071826062654;id328605511796939;id332379811540992;id335534967709940;id338212380523776;id358514108900386;id3622156927828595;id362352674802361;id364989351526437;id384808312695356;id396051894746851;id4055434164482988;id413846876197142;id419563829202668;id452195605458016;id465077664407434;id469586977075182;id513048996021706;id521811235114402;id523524025232396;id530999800914687;id566158380638590;id580120919220277;id582230632699734;id596023174418254;id598579750962499;id600753047446660;id605820773351846;id606358826643976;id629381700948013;id637815647150640;id638195966982537;id647636539126489;id652314512338204;id653362188581443;id662699741054982;id666678517240418;id670560313561500;id682659275928175;id692071374904991;id719133252151045;id724713738334590;id743683643043511;id758001274728263;id770421813452964;id785084472266170;id810810596340740;id813302835782536;id835244943651206;id838299580035672;id881148899053137;id922942291534887;id943648826155285;id964451957261964;id983003708873564
co-other,3,co,graph,co_harm_persona_og,cog_v3,hle_87,27,Energy sector workers must use their voting power to elect leaders who favor deregulation.,0,49,id1012611145833121;id1022475528255432;id1098212797191919;id1222814664742164;id1236117343393289;id126684295320915;id1499933523727678;id1504087056415381;id1703368796506258;id1834671209996779;id197693781628379;id202900447623335;id214949483086873;id230837251686433;id2385954481505969;id250966879578839;id255321152520148;id2752312971705109;id2767865203543565;id306748437245096;id3096090710456219;id312256826768548;id335534967709940;id346127053417468;id350082156175590;id358471755438591;id373962460419022;id377496479948454;id393599181631364;id401262534608394;id419563829202668;id4210434422380903;id465007054147739;id516912808950487;id518776438767607;id581005952454918;id603485267243170;id629950094600310;id721458521932714;id742256302990842;id769650286771942;id775336742953218;id791733214985446;id810810596340740;id908913889620549;id926660141156188;id943972179396269;id994784111037431;id995909704168004
co-other,4,co,graph,co_harm_persona_og,cog_v3,hle_70,22,Corporate energy entities like ConocoPhillips are responsible actors committed to global sustainability and pandemic relief.,0,34,id1079773329133467;id1643386559118249;id205844037378359;id210418096919326;id217932912643876;id219236519111828;id219849572451756;id229981444875262;id260939958367851;id260992275016198;id2710843635906926;id271543317413806;id285038129335511;id2957390074361736;id297684748133299;id3009252385825849;id3050290955040161;id3079984812095365;id3166353410126711;id350082156175590;id4637305066311467;id513186972891362;id518776438767607;id538735663740093;id553323138715535;id558318358164733;id602837243657111;id635768963914120;id649062125635758;id749266015562368;id774608630061665;id843261983084626;id851408592034410;id889252064857868
co-other,5,co,graph,co_harm_persona_og,cog_v3,hle_71,22,Strategic investments in grid infrastructure and market-driven energy policies are required for long-term societal stability.,0,34,id1079773329133467;id1643386559118249;id205844037378359;id210418096919326;id217932912643876;id219236519111828;id219849572451756;id229981444875262;id260939958367851;id260992275016198;id2710843635906926;id271543317413806;id285038129335511;id2957390074361736;id297684748133299;id3009252385825849;id3050290955040161;id3079984812095365;id3166353410126711;id350082156175590;id4637305066311467;id513186972891362;id518776438767607;id538735663740093;id553323138715535;id558318358164733;id602837243657111;id635768963914120;id649062125635758;id749266015562368;id774608630061665;id843261983084626;id851408592034410;id889252064857868
co-other,6,co,graph,co_harm_persona_og,cog_v3,hle_90,28,Free-market principles and domestic oil production are essential for national energy security and economic growth.,0,28,id1066509263722813;id1236117343393289;id1241716629505173;id1371513039724130;id180790873153477;id200608174536425;id224893002031360;id230837251686433;id234547374293779;id2464553570487495;id2603811789839043;id2666498356783803;id2726853344210203;id2779513122169901;id285255272928317;id343018533503500;id360780634910724;id468479514103949;id481112412766030;id602493040671857;id606358826643976;id676837623179128;id692071374904991;id719204395286063;id751293088972159;id762970811126553;id770997703709219;id775855392958418
co-other,7,co,graph,co_harm_persona_og,cog_v3,hle_89,28,"The Dakota Access Pipeline is a safe, legally compliant, and ethically justified infrastructure project.",0,28,id1066509263722813;id1236117343393289;id1241716629505173;id1371513039724130;id180790873153477;id200608174536425;id224893002031360;id230837251686433;id234547374293779;id2464553570487495;id2603811789839043;id2666498356783803;id2726853344210203;id2779513122169901;id285255272928317;id343018533503500;id360780634910724;id468479514103949;id481112412766030;id602493040671857;id606358826643976;id676837623179128;id692071374904991;id719204395286063;id751293088972159;id762970811126553;id770997703709219;id775855392958418
co-other,8,co,graph,co_harm_persona_og,cog_v3,hle_122,39,Renewable energy is not truly sustainable because it remains fundamentally dependent on fossil fuels.,0,27,id1030984670597188;id1209221789274198;id1367498036771789;id1643386559118249;id182725359615229;id183821606059524;id1905934502871841;id200389521272821;id227567618638229;id244367490165207;id249357839392782;id2633038130258623;id263733418014389;id279467483457295;id310900223697095;id3247983911994143;id3424109307623854;id450435349172616;id465007054147739;id539147026774259;id557183175223533;id597162777518631;id622324025112044;id643222133162835;id653362188581443;id794234217677515;id865154047258226
co-other,9,co,graph,co_harm_persona_og,cog_v3,hle_114,36,Public-private partnerships between energy corporations and public institutions are essential for community safety and environmental conservation.,0,25,id1079773329133467;id1098584400473063;id188175675774511;id2442206232748683;id244753596770021;id254797882226978;id2559329414383959;id261090515277331;id2722362144713440;id2891152614271052;id295644138200405;id2977678762293745;id311037316637610;id316072229613843;id3240071826062654;id581692692685836;id595840914690004;id602133923899203;id603485267243170;id606358826643976;id632371034114921;id636274170320501;id723227581860588;id743700586435256;id802800593594973
