ad_id,text_hash_id,ad_creative_body
id1008422802885993,7e4ab5b351a45323242b80a9878a1047705a7ea0542129442d8578f90a43be02,Pipelines such as Mariner East 2 are benefitting the PA workforce and bringing businesses to Pennsylvania.
id1012611145833121,a8ee6bea33ab2033dfa16c54108d6ce4632d4756b439692abb8f886b77b62236,Don’t miss your registration deadline for your county. Cast you vote for energy. Visit https://www.voteforjobsnm.org for voting information for all 33 New Mexico counties.
id1022475528255432,03527890ab99da82ea5b3671e2a10e9dab5ddb0f4095ef06b09cd19dc2ad7b14,"Do you work in energy? Do you know what to expect if you vote in person this year? Don’t sweat it, we’ve got your back."
id1022787421486554,4906de338952b13786e690026a774ded378024dd63cd497dff263a08884196be,"#FACT: We believe that meaningful consultation and ongoing communications with all stakeholders are key to environmentally responsible energy infrastructure.

These collaborative relationships enable us to meet our country's energy needs, promote economic prosperity, and foster America's energy independence.

To learn more facts visit: https://daplpipelinefacts.com/The-Facts.html

#DAPL #DakotaAccess #Pipelines #Oil #Community #Respect #SocialResponsibility"
id1030984670597188,d3db6a15cb9842ed72e99e46a563bf2d4bf7668c3b971104cc71da2bd34c4551,"This is Esmel. He’s a community organizer helping community leaders, residents, and small businesses understand what natural gas and oil make possible. #SOAE2020 #EnergyForProgress"
id1036756806835241,f960cb99b5ee5ca91d8c0227a4f2bbb21321252c8f49a0512fb4d09d524272c9,"Nearly 1 in 3 households in the U.S. report a challenge in paying energy bills or sustaining adequate heating. According to a new report from our energy analysis team, #natgas continues to be the lowest cost #energy option and utilities are working to save Americans even more on their energy bills and increase energy assistance programs to help families. Learn more:"
id1037807713242629,a7e7abdacb5b9656f255431c4bb496a1d6a58cb94bbe26b6e8312899973ab040,"🚨ATTENTION PIPELINE SUPPORTER 🚨
We need your help to combat fake news being spread about the Permian Highway Pipeline. Can you help out? If so, click Send Message below and help support the Texas economy."
id1054211311704647,69bc849b9dac7627a5dd5461d3322ad640b4b6e6de8a0fa9adfdc3024cbf0735,"Americans deserve a reliable, abundant #energy source. See how the abundant supply of natural gas in America plays a critical role in energy security, strengthening the economy, creating jobs and more:"
id1060400521057711,0abb6fe0edaab4c3b2cb79e275c0f2a50e6756184903db45256fcd3ca76da974,The natural gas and oil industry is vital to our country and our economy. Register to learn more about the importance of American energy: www.powerincooperation.com
id1066509263722813,e907fb8a8d5c844547298494c9ab5e01d8244746dd6fb0ceb5073ffcfa5b8318,"A (very) small group of politically connected CEOs are trying to get Texas to implement OPEC-style crude production cuts. If they win, American consumers lose – and our nation’s long-term energy security would be threatened. Read more: https://bit.ly/2yqK6d6"
id1071543899908854,fd50d03d9db9256463af0a9ada7f9347ef2feb5bdf381f54410916c5e8e92e3c,"Ineffective, unnecessary regulations stand in the way of affordable energy for all. Support low-cost energy!"
id1078825302520799,9ebee65d47adf8fe7a4c6169f8506869b3972603377aa5cdcf161991dadfcedd,"Colorado voters have repeatedly rejected efforts that would drive energy companies out of the state, but new proposed rulemakings could harm Colorado’s energy industry, devastating the state’s economy and eliminating thousands of jobs."
id1079773329133467,c7093717c28480eac87edef714895594a49d98e2542d441c547bb8717eab77a7,Oil and natural gas production from the Permian Basin has helped America become less reliant on foreign energy sources. We cannot afford to stifle the progress we’ve made with disastrous proposals like a federal fracking ban.
id1086335075068763,cdc64c04a4888eec6315744dd5a64c2d7b99d33d2bf3fded6371bb4b840567b5,"Part two in understanding the value of natural gas focuses on how the #natgas industry is driving down emissions through customer energy efficiency programs and their own operational efforts. 
Link in bio"
id1098212797191919,0d7336f159c2b8eb219e5e1793b52049589008dc6ea64ef31721ff7ca4cfe93d,"Williams is proud to be an industry leader in creating fact-based, practical programs to help reduce greenhouse gas emissions: https://www.williams.com/2019/12/12/williams-at-the-forefront-in-collaboration-to-address-climate-change-issues-with-fact-based-solutions/"
id1098584400473063,aa3a4eed852671d1084bb6cb066cc8fdbca31f9d23b30feb5b814490e78fb09e,"Get the facts about emergency planning and public awareness for Mariner East 2 pipeline. → ow.ly/b4bk50xTY5t

#MarinerEast2 #Pipelines #Facts #MarinerFacts #PipelineSafety #SafetyEducation #PublicAwareness"
id111449076939589,22412cf0dec5e63097de7f53537110b5e69d0fb1eae64d21204b534cd2c70f55,"From decreased energy costs for families to increased investments in school systems and infrastructure, Americans benefit from the economic growth driven by the U.S. natural gas and oil industry. #EnergyForProgress"
id1132081010524874,c717a64b52a81bd9e7f90643f133efef299ba5ef3c5a49772f9ccfee8fefee8e,"The gasoline we make gets people to their jobs to put food on their tables.

Now millions of people need that gas to line up at food banks.

We're proud of the role we play in helping people get what is essential,"
id1142436342764581,ef345bd58a6f049b17009bf86f184b004fd7f65fe45415b5f27406cfd2aea545,Limiting Texas oil and natural gas means other nations will provide the energy the world needs. Keeping Texas strong keeps America strong. Say no to restricting Texas energy with production quotas.
id114252370013314,aa582c493d6369d56990999b78651eda8a033ada8855237d323c7e948bef491a,"🚨ATTENTION PIPELINE SUPPORTER 🚨
We need your help to combat fake news being spread about the Permian Highway Pipeline. Are you willing to write a letter to the editor? If so, click Send Message below and help support the Texas economy."
id117938629530886,cd433c35136d4a3ed8108bd9f424ba416f5a222ec733f13978fcb046cb61518b,"To grow American energy leadership, we must look to the future and prepare for projections that global energy demand will rise with policies that support safe, responsible domestic natural gas and oil production.#EnergyForProgress"
id119741082756916,9d07ec3e923938cf08c2822c83f561269eb17458db1c3abbfc4ea6100d4ee135,Pipelines help keep energy costs low. Just the way we like things around here.
id1209221789274198,852dce9af73cb3ea28b5f4f571ae819e2988ca2b16f2050a838b146cdfbce798,Natural gas is key to building the bridge to an all-renewable future through hybrid renewable systems that combine weather-dependent energy forms with a natural gas backstop. Learn more:
id1211893755843373,1493bf46b9f0aa36d53a5a3bcb63b254e004a443d800d767ca55207a11266eec,"A ban on federal leases could result in an increase in coal consumption. Instead of decreasing emissions, analysis shows the ban would result in an INCREASE in CO₂ emissions."
